,Link
0,https://www.colombotelegraph.com/index.php/jaffna-university-teachers-association-condemns-police-violence-against-students-protestors-in-kilinochchi-on-the-independence-day/
1,https://www.colombotelegraph.com/index.php/take-immediate-steps-to-repeal-online-safety-act-cpa/
2,https://www.colombotelegraph.com/index.php/online-safety-act-major-blow-to-freedom-of-expression-amnesty-international/
3,https://www.colombotelegraph.com/index.php/wickremesinghe-govt-continues-to-repress-freedoms-of-expression-pursue-policies-against-minorities-hrw/
4,https://www.colombotelegraph.com/index.php/a-power-project-in-the-dark-rti-voices-concern-regarding-transparency-around-the-adani-green-energy-project/
5,https://www.colombotelegraph.com/index.php/prosecute-police-officers-found-guilty-by-supreme-court-human-rights-commission-tells-ag/
6,https://www.colombotelegraph.com/index.php/immediately-terminate-the-appointment-of-deshabandu-as-acting-igp-lawyers-collective-tells-ranil/
7,https://www.colombotelegraph.com/index.php/basl-condemns-tirans-attack-on-lawyers-urges-to-appoint-a-clean-igp/
8,https://www.colombotelegraph.com/index.php/will-david-cameron-apply-magnitsky-sanctions-on-sri-lanka-after-promoting-investment-for-its-controversial-port-city-project/
9,https://www.colombotelegraph.com/index.php/tamils-detained-for-commemorating-war-dead-9-held-under-abusive-pta/
