EnglishKeywords,TamilKeywords,SinhalaKeywords
Keyword,முக்கிய சொல்,මූල පදය
Gender inclusion,பாலின சேர்க்கை,ස්ත්රී පුරුෂ භාවය ඇතුළත් කිරීම
social inclusion,சமூக உட்சேர்க்கை,සමාජ ඇතුළත් කිරීම
gender inclusion,பாலின சேர்க்கை,ස්ත්රී පුරුෂ භාවය ඇතුළත් කිරීම
gender equality,"ஆண், பெண் சமத்துவம்",ස්ත්රී පුරුෂ සමානාත්මතාවය
discrimination,பாகுபாடு,වෙනස් කොට සැලකීම
abuse,துஷ்பிரயோகம்,අපයෙදුම්
representation,பிரதிநிதித்துவம்,නිරූපණය
decision-making,முடிவெடுக்கும்,තීරණ ගැනීම
participation of women,பெண்களின் பங்கேற்பு,කාන්තාවන්ගේ සහභාගීත්වය
harassment,துன்புறுத்தல்,හිරිහැර කිරීම
justice,நீதி,යුක්තිය
gender based,பாலின அடிப்படையிலான,ස්ත්රී පුරුෂ භාවය පදනම් කරගත්
vulnerable,பாதிக்கப்படக்கூடிய,අවදානමට ලක්විය හැකි
poverty,வறுமை,දරිද්රතා
USAID,யு.எஸ்.ஏ.ஐ.டி.,USAID
PACT,ஒப்பந்தம்,ගිවිසුම
UNDP,யுஎன்டிபி,UNDP
UNICEF,யுனிசெஃப்,යුනිසෙෆ්
empowerment,அதிகாரமளித்தல்,සවිබල ගැන්වීම
NGO,Ngo,රාජ්ය නොවන සංවිධාන
Empowerment Programs,அதிகாரமளித்தல் திட்டங்கள்,සවිබල ගැන්වීමේ වැඩසටහන්
feminism,பெண்ணியம்,ස්ත්රීවාදය
Gender Bias,பாலியல் பாகுபாடுகள்,ස්ත්රී පුරුෂ පාසිරා
Inclusive Education,உள்ளடக்கிய கல்வி,ඇතුළත් අධ්යාපනය
Discrimination Awareness,பாகுபாடு விழிப்புணர்வு,වෙනස් කොට සැලකීමේ දැනුවත්භාවය
Intersectionality,குறுக்குவெட்டு,ඡේදනය වීම
Gender-Sensitive Content,பாலின உணர்திறன் உள்ளடக்கம்,ස්ත්රී පුරුෂ-සංවේදී අන්තර්ගතය
advocacy,வக்கீல்,උපදේශනය
gender based violence,பாலின அடிப்படையிலான வன்முறை,ස්ත්රී පුරුෂ සමාජභාවය මත පදනම් වූ ප්රචණ්ඩත්වය
inclusivity,உள்ளடக்கம்,ඇතුළත් කිරීම
liberation,விடுதலை,විමුක්ති
empower,அதிகாரம்,සවිබල ගැන්වීම
respect,மரியாதை,ගෞරවය
fairness,நேர்மை,සාධාරණත්වය
equality,சமத்துவம்,සමානාත්මතාවය
involvement,ஈடுபாடு,මැදිහත්වීම
support,ஆதரவு,සහාය
empathy,பச்சாத்தாபம்,සංවේදනය
access,அணுகல்,ප්රවේශ
wellness,ஆரோக்கியம்,සුවතාවය
awareness,விழிப்புணர்வு,දැනුවත්
engagement,நிச்சயதார்த்தம்,විවාහ ගිවිස ගැනීම
balance,இருப்பு,ශේෂය
gender,பாலினம்,ස්ත්රී පුරුෂ භාවය
equity,பங்கு,සමානාත්මතාවය
opportunity,வாய்ப்பு,අවස්ථාවක්
dignity,க ity ரவம்,ගෞරවය
education,கல்வி,අධ්යාපන
girl-child,பெண்-குழந்தை,ගැහැණු ළමයා - දරුවා
female,பெண்,ගැහැණු
women,பெண்கள்,කාන්තා
rights,உரிமைகள்,අයිතිය
LGBTQ+,LGBTQ+,Lgbtq +
acceptance,ஏற்றுக்கொள்ளல்,පිළිගැනීම
women's rights,பெண்களின் உரிமை,කාන්තා හිමිකම්
women education,பெண்கள் கல்வி,කාන්තා අධ්යාපනය
maternal health,தாய்வழி ஆரோக்கியம்,මාතෘ සෞඛ්යය
reproductive rights,இனப்பெருக்க உரிமைகள்,ප්රජනන අයිතිවාසිකම්
female entrepreneurship,பெண் தொழில்முனைவோர்,කාන්තා ව්යවසායකත්වය
equal pay,சம ஊதியம்,සමාන වැටුපක්
workplace diversity,பணியிட பன்முகத்தன்மை,සේවා ස්ථාන විවිධත්වය
LGBTQ+ rights,LGBTQ+ உரிமைகள்,LGBTQ + අයිතිවාසිකම්
gender sensitive media,பாலின உணர்திறன் மீடியா,ස්ත්රී පුරුෂ භාවය සංවේදී මාධ්ය
inclusive sports,உள்ளடக்கிய விளையாட்டு,ඇතුළත් ක්රීඩා
women's economic empowerment,பெண்களின் பொருளாதார வலுவூட்டல்,කාන්තා ආර්ථික සවිබල ගැන්වීම
gender norm,பாலின விதிமுறை,ස්ත්රී පුරුෂ සමාජභාවය
women's leadership role,பெண்கள் தலைமைப் பங்கு,කාන්තා නායකත්ව කාර්යභාරය
women in science,அறிவியலில் பெண்கள்,විද්යාවේ කාන්තාවන්
Inclusive Governance,உள்ளடக்கிய ஆளுகை,ඇතුළත් පාලනය
women in STEM,ஸ்டெமில் பெண்கள்,කඳේ කාන්තාවන්
gender and data privacy,பாலினம் மற்றும் தரவு தனியுரிமை,ස්ත්රී පුරුෂ භාවය සහ දත්ත රහස්යතාවය
isolation,தனிமைப்படுத்துதல்,ඒකලනය
mental health,மன ஆரோக்கியம்,මානසික සෞඛ්ය
disability,இயலாமை,ආබාධිත
cultural barriers,கலாச்சார தடைகள்,සංස්කෘතික බාධක
marginalised group,ஓரங்கட்டப்பட்ட குழு,ආන්තික වූ කණ්ඩායම
gender disparity,பாலின ஏற்றத்தாழ்வு,ස්ත්රී පුරුෂ විෂමතාවය
